Filename: PicknPlace.txt

Lage der Leiterplatte:
untere linke Ecke: X=0 / Y=0
RefDesignator	X	Y	Rot	Value	Package	Side
D62	111.073	80.737	270.000	APA102C	APA102C	TOP
D63	125.456	80.737	270.000	APA102C	APA102C	TOP
D64	118.265	93.193	90.000	APA102C	APA102C	TOP
D65	103.882	93.193	90.000	APA102C	APA102C	TOP
D66	89.499	93.193	90.000	APA102C	APA102C	TOP
D67	75.116	93.193	90.000	APA102C	APA102C	TOP
D70	82.308	105.649	270.000	APA102C	APA102C	TOP
D68	60.733	93.193	90.000	APA102C	APA102C	TOP
D71	96.691	105.649	270.000	APA102C	APA102C	TOP
D69	67.925	105.649	270.000	APA102C	APA102C	TOP
D72	111.074	105.649	270.000	APA102C	APA102C	TOP
D73	103.882	118.106	90.000	APA102C	APA102C	TOP
D74	89.499	118.106	90.000	APA102C	APA102C	TOP
D75	75.116	118.106	90.000	APA102C	APA102C	TOP
D76	82.308	130.562	270.000	APA102C	APA102C	TOP
D77	96.691	130.562	270.000	APA102C	APA102C	TOP
D80	87.155	67.983	180.000	MBR0540-T1	SOD123	BOTTOM
D78	89.500	143.018	90.000	APA102C	APA102C	TOP
D79	96.170	72.179	0.000	MBRS340	SMC	BOTTOM
C1	90.680	85.585	270.000	2.2nF	C0603	BOTTOM
D1	10.392	6.000	270.000	APA102C	APA102C	TOP
J1	99.637	81.601	270.000	B2B-PH-SM4-TB	B2B-PH-SM4-TB	BOTTOM
L1	87.573	72.810	90.000	8.2uH	XAL50	BOTTOM
R1	88.759	85.572	270.000	10K	R0603	BOTTOM
U1	89.844	80.034	180.000	LT1765ES8#PBF	SOP008_127_0500_0620_175	BOTTOM
C2	95.004	77.213	180.000	220nF	C0805	BOTTOM
D2	24.775	6.000	270.000	APA102C	APA102C	TOP
J2	88.741	111.945	90.000	MICROMATCH-4	AMP7-188275-4	BOTTOM
R2	85.758	83.736	270.000	31.6K	R0603	BOTTOM
C3	94.205	81.956	90.000	2.2uF	C1206	BOTTOM
D3	39.158	6.000	270.000	APA102C	APA102C	TOP
J3	54.001	25.818	90.000	MICROMATCH-4	AMP7-188275-4	BOTTOM
C4	85.159	80.927	0.000	10uF	C0603	BOTTOM
D4	53.541	6.000	270.000	APA102C	APA102C	TOP
C5	84.423	77.948	180.000	47uF	C1210	BOTTOM
D5	67.924	6.000	270.000	APA102C	APA102C	TOP
D6	82.307	6.000	270.000	APA102C	APA102C	TOP
D7	96.690	6.000	270.000	APA102C	APA102C	TOP
D10	139.839	6.000	270.000	APA102C	APA102C	TOP
D11	154.222	6.000	270.000	APA102C	APA102C	TOP
D12	168.605	6.000	270.000	APA102C	APA102C	TOP
D13	161.413	18.456	90.000	APA102C	APA102C	TOP
D14	147.030	18.456	90.000	APA102C	APA102C	TOP
D15	132.647	18.456	90.000	APA102C	APA102C	TOP
D16	118.264	18.456	90.000	APA102C	APA102C	TOP
D17	103.881	18.456	90.000	APA102C	APA102C	TOP
D18	89.498	18.456	90.000	APA102C	APA102C	TOP
D20	60.732	18.456	90.000	APA102C	APA102C	TOP
D8	111.073	6.000	270.000	APA102C	APA102C	TOP
D19	75.115	18.456	90.000	APA102C	APA102C	TOP
D21	46.349	18.456	90.000	APA102C	APA102C	TOP
D22	31.966	18.456	90.000	APA102C	APA102C	TOP
D23	17.583	18.456	90.000	APA102C	APA102C	TOP
D24	24.775	30.912	270.000	APA102C	APA102C	TOP
D25	39.158	30.912	270.000	APA102C	APA102C	TOP
D26	53.541	30.912	270.000	APA102C	APA102C	TOP
D27	67.924	30.912	270.000	APA102C	APA102C	TOP
D28	82.307	30.912	270.000	APA102C	APA102C	TOP
D30	111.073	30.912	270.000	APA102C	APA102C	TOP
D9	125.456	6.000	270.000	APA102C	APA102C	TOP
D29	96.690	30.912	270.000	APA102C	APA102C	TOP
D31	125.456	30.912	270.000	APA102C	APA102C	TOP
D32	139.839	30.912	270.000	APA102C	APA102C	TOP
D33	154.222	30.912	270.000	APA102C	APA102C	TOP
D34	147.031	43.368	90.000	APA102C	APA102C	TOP
D35	132.648	43.368	90.000	APA102C	APA102C	TOP
D36	118.265	43.368	90.000	APA102C	APA102C	TOP
D37	103.882	43.368	90.000	APA102C	APA102C	TOP
D38	89.499	43.368	90.000	APA102C	APA102C	TOP
D40	60.733	43.368	90.000	APA102C	APA102C	TOP
D39	75.116	43.368	90.000	APA102C	APA102C	TOP
D41	46.350	43.368	90.000	APA102C	APA102C	TOP
D42	31.967	43.368	90.000	APA102C	APA102C	TOP
D43	39.158	55.824	270.000	APA102C	APA102C	TOP
D44	53.541	55.824	270.000	APA102C	APA102C	TOP
