
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
01-0385                          R1                                80   1      1   1   1 1           1 0 XSIG020089          (4335-1-13)
01-0385                          R1                                80   1      2   1   1 2           2 0 GND                 (43-1-13)
01-0433                          R2                                81   1      1   1   1 1           1 0 VCC                 (43-2-13)
01-0433                          R2                                81   1      2   1   1 2           2 0 XSIG020089          (4335-1-13)
10-0007                          C1                                88   1      1   1   1 1           1 0 XSIG020005          (4214-159-13)
10-0007                          C1                                88   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0041                          C2                                90   1      1   1   1 1           1 0 XSIG020011          (4214-161-13)
10-0041                          C2                                90   1      2   1   1 2           2 0 XSIG020066          (4247-142-13)
10-0056                          C3                                79   1      1   1   1 1           1 0 XSIG020062          (4308-1-13)
10-0056                          C3                                79   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0095                          C5                                85   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0095                          C5                                85   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0120                          C4                                87   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0120                          C4                                87   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0001                          D79                               84   1      1   1   1 2           2 0 GND                 (43-1-13)
20-0001                          D79                               84   1      2   2   1 1           1 0 XSIG020066          (4247-142-13)
20-0019                          D80                               91   1      1   1   1 2           2 0 VCC                 (43-2-13)
20-0019                          D80                               91   1      2   2   1 1           1 0 XSIG020011          (4214-161-13)
20-0075                          D1                                68   1      1   1   1 2           2 0 CI1                 (4214-157-13)
20-0075                          D1                                68   1      2   2   1 5           5 0 XSIG012310          (4247-1-13)
20-0075                          D1                                68   1      3   3   1 1           1 0 DI1                 (4214-158-13)
20-0075                          D1                                68   1      4   4   1 4           4 0 XSIG012311          (4247-2-13)
20-0075                          D1                                68   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D1                                68   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D2                                67   1      1   1   1 2           2 0 XSIG012310          (4247-1-13)
20-0075                          D2                                67   1      2   2   1 5           5 0 XSIG012330          (4247-3-13)
20-0075                          D2                                67   1      3   3   1 1           1 0 XSIG012311          (4247-2-13)
20-0075                          D2                                67   1      4   4   1 4           4 0 XSIG012331          (4247-4-13)
20-0075                          D2                                67   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D2                                67   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D3                                66   1      1   1   1 2           2 0 XSIG012330          (4247-3-13)
20-0075                          D3                                66   1      2   2   1 5           5 0 XSIG012332          (4247-5-13)
20-0075                          D3                                66   1      3   3   1 1           1 0 XSIG012331          (4247-4-13)
20-0075                          D3                                66   1      4   4   1 4           4 0 XSIG012333          (4247-6-13)
20-0075                          D3                                66   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D3                                66   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D4                                70   1      1   1   1 2           2 0 XSIG012332          (4247-5-13)
20-0075                          D4                                70   1      2   2   1 5           5 0 XSIG012334          (4247-7-13)
20-0075                          D4                                70   1      3   3   1 1           1 0 XSIG012333          (4247-6-13)
20-0075                          D4                                70   1      4   4   1 4           4 0 XSIG012335          (4247-8-13)
20-0075                          D4                                70   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D4                                70   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D5                                69   1      1   1   1 2           2 0 XSIG012334          (4247-7-13)
20-0075                          D5                                69   1      2   2   1 5           5 0 XSIG012336          (4247-9-13)
20-0075                          D5                                69   1      3   3   1 1           1 0 XSIG012335          (4247-8-13)
20-0075                          D5                                69   1      4   4   1 4           4 0 XSIG012337          (4247-10-13)
20-0075                          D5                                69   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D5                                69   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D6                                72   1      1   1   1 2           2 0 XSIG012336          (4247-9-13)
20-0075                          D6                                72   1      2   2   1 5           5 0 XSIG012339          (4247-11-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0075                          D6                                72   1      3   3   1 1           1 0 XSIG012337          (4247-10-13)
20-0075                          D6                                72   1      4   4   1 4           4 0 XSIG012340          (4247-12-13)
20-0075                          D6                                72   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D6                                72   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D7                                71   1      1   1   1 2           2 0 XSIG012339          (4247-11-13)
20-0075                          D7                                71   1      2   2   1 5           5 0 XSIG012341          (4247-13-13)
20-0075                          D7                                71   1      3   3   1 1           1 0 XSIG012340          (4247-12-13)
20-0075                          D7                                71   1      4   4   1 4           4 0 XSIG012343          (4247-14-13)
20-0075                          D7                                71   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D7                                71   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D8                                78   1      1   1   1 2           2 0 XSIG012341          (4247-13-13)
20-0075                          D8                                78   1      2   2   1 5           5 0 XSIG012344          (4247-15-13)
20-0075                          D8                                78   1      3   3   1 1           1 0 XSIG012343          (4247-14-13)
20-0075                          D8                                78   1      4   4   1 4           4 0 XSIG012345          (4247-16-13)
20-0075                          D8                                78   2      1   1   2 6           6 0 VCC                 (43-2-13)
20-0075                          D8                                78   3      1   1   3 3           3 0 GND                 (43-1-13)
20-0075                          D9                                77   1      1   1   1 2           2 0 XSIG012344          (4247-15-13)
20-0075                          D9                                77   1      2   2   1 5           5 0 XSIG012346          (4247-17-13)
20-0075                          D9                                77   1      3   3   1 1           1 0 XSIG012345          (4247-16-13)
20-0075                          D9                                77   1      4   4   1 4           4 0 XSIG012347          (4247-18-13)
