RefDesignator	X	Y	Rot	PartNumber	Description	TopCell	Side
"C26"	27,997	21,325	180	"10-0011"	"Capacitor Ceramic C0G / 10nF / 50V / ±5% / case 0603"	"C0603"	"BOTTOM"
"C11"	20,385	53,45	90	"10-0011"	"Capacitor Ceramic C0G / 10nF / 50V / ±5% / case 0603"	"C0603"	"BOTTOM"
"C20"	4,252	40,265	90	"10-0030"	"Capacitor Ceramic 18pF / 10V / ±20% / case 0603"	"C0603"	"BOTTOM"
"C19"	4,266	48,24	270	"10-0030"	"Capacitor Ceramic 18pF / 10V / ±20% / case 0603"	"C0603"	"BOTTOM"
"C31"	27,32	12,452	180	"10-0040"	"Capacitor Ceramic 220pF / NPO / 50V / ±5% / case 0603"	"C0603"	"TOP"
"C32"	25,13	17,97	180	"10-0054"	"Capacitor Ceramic 33pF / NPO / 50V / ±5% / case 0603"	"C0603"	"BOTTOM"
"C14"	18,13	41,736	270	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C17"	11,861	37,787	0	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C15"	9,581	50,143	0	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C7"	23,292	55,568	180	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"TOP"
"C21"	17,963	56,73	0	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C24"	29,117	32,626	270	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C18"	20,849	47,762	270	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C22"	30,734	51,168	270	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C12"	4,453	19,394	90	"10-0057"	"Capacitor Ceramic X7R / 100nF / 16V / ±10% / case 0603"	"C0603"	"BOTTOM"
"C8"	13,789	9,388	180	"10-0100"	"Capacitor Ceramic 820pF / NP0 / 50V / ±5% / case 0603"	"C0603"	"BOTTOM"
"C9"	14,614	43,601	180	"10-0103"	"Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603"	"C0603"	"BOTTOM"
"C4"	4,93	21,721	0	"10-0103"	"Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603"	"C0603"	"BOTTOM"
"C3"	19,644	4,086	180	"10-0103"	"Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603"	"C0603"	"TOP"
"C5"	23,906	12,106	0	"10-0103"	"Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603"	"C0603"	"TOP"
"C6"	7,809	19,279	270	"10-0103"	"Capacitor Ceramic X5R / 10uF / 6.3V / ±20% / case 0603"	"C0603"	"BOTTOM"
"C10"	13,663	5,697	270	"10-0111"	"Capacitor Ceramic X5R / 22uF / 10V / ±20% / case 0805"	"C0805"	"TOP"
"C13"	21,605	16,89	90	"10-0111"	"Capacitor Ceramic X5R / 22uF / 10V / ±20% / case 0805"	"C0805"	"TOP"
"J9"	21,786	30,095	90	"70-0002"	"Jumper 2 points 2.54mm avec cavalier associe"	"BAR02P2.54/W2.54"	"TOP"
