
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
00-0001                          R20                               72   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0001                          R20                               72   1      2   1   1 2           2 0 XSIG020259          (4282-2-13)
00-0074                          R5                                47   1      1   1   1 1           1 0 ESP_SPI_SCK         (4152-11-13)
00-0074                          R5                                47   1      2   1   1 2           2 0 XSIG030259          (4282-17-13)
00-0074                          R6                                48   1      1   1   1 1           1 0 ESP_SPI_MISO        (4282-5-13)
00-0074                          R6                                48   1      2   1   1 2           2 0 XSIG030260          (4282-18-13)
00-0074                          R7                                49   1      1   1   1 1           1 0 ESP_SPI_MOSI        (4152-12-13)
00-0074                          R7                                49   1      2   1   1 2           2 0 XSIG030261          (4282-19-13)
00-0074                          R10                               50   1      1   1   1 1           1 0 XSIG030262          (4282-20-13)
00-0074                          R10                               50   1      2   1   1 2           2 0 ESP_SPI_NSS         (4282-3-13)
00-0074                          R11                               51   1      1   1   1 1           1 0 XSIG030263          (4282-21-13)
00-0074                          R11                               51   1      2   1   1 2           2 0 ESP_SPI_HS          (4282-4-13)
00-0074                          R12                               52   1      1   1   1 1           1 0 XSIG030264          (4282-22-13)
00-0074                          R12                               52   1      2   1   1 2           2 0 ESP_2_STM           (4152-24-13)
00-0074                          R13                               53   1      1   1   1 1           1 0 XSIG030265          (4282-23-13)
00-0074                          R13                               53   1      2   1   1 2           2 0 STM_2_ESP           (4152-23-13)
00-0074                          R14                               44   1      1   1   1 1           1 0 XSIG020290          (4286-4-13)
00-0074                          R14                               44   1      2   1   1 2           2 0 LED_B               (4286-3-13)
00-0074                          R15                               45   1      1   1   1 1           1 0 XSIG020291          (4286-5-13)
00-0074                          R15                               45   1      2   1   1 2           2 0 LED_G               (4286-2-13)
00-0074                          R16                               46   1      1   1   1 1           1 0 XSIG020292          (4286-6-13)
00-0074                          R16                               46   1      2   1   1 2           2 0 LED_R               (4286-1-13)
00-0090                          R18                               70   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0090                          R18                               70   1      2   1   1 2           2 0 AHRS_SDA            (4152-22-13)
00-0090                          R19                               71   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0090                          R19                               71   1      2   1   1 2           2 0 AHRS_SCL            (4152-21-13)
00-0098                          R1                                59   1      1   1   1 1           1 0 XSIG020259          (4282-2-13)
00-0098                          R1                                59   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0098                          R17                               60   1      1   1   1 1           1 0 LED_R               (4286-1-13)
00-0098                          R17                               60   1      2   1   1 2           2 0 GND                 (43-1-13)
00-0104                          R9                                56   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0104                          R9                                56   1      2   1   1 2           2 0 XSIG011165          (4252-1-13)
00-0105                          R2                                65   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0105                          R2                                65   1      2   1   1 2           2 0 SD_D0               (4152-6-13)
00-0105                          R3                                66   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0105                          R3                                66   1      2   1   1 2           2 0 SD_SCK              (4152-7-13)
00-0105                          R4                                67   1      1   1   1 1           1 0 VCC                 (43-2-13)
00-0105                          R4                                67   1      2   1   1 2           2 0 SD_CMD              (4152-8-13)
01-0385                          R8                                55   1      1   1   1 1           1 0 XSIG011165          (4252-1-13)
01-0385                          R8                                55   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0007                          C4                                58   1      1   1   1 1           1 0 XSIG011140          (4085-4-13)
10-0007                          C4                                58   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0019                          C30                               25   1      1   1   1 1           1 0 VBAT                (4282-1-13)
10-0019                          C30                               25   1      2   2   1 2           2 0 GND                 (43-1-13)
10-0031                          C22                               63   1      1   1   1 1           1 0 XSIG020283          (4282-6-13)
10-0031                          C22                               63   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0031                          C23                               64   1      1   1   1 1           1 0 XSIG020285          (4282-7-13)
10-0031                          C23                               64   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0041                          C1                                16   1      1   1   1 1           1 0 XSIG011127          (4085-2-13)
10-0041                          C1                                16   1      2   1   1 2           2 0 XSIG011144          (4152-2-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0057                          C7                                29   1      1   1   1 1           1 0 VCC5                (4282-15-13)
10-0057                          C7                                29   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C8                                35   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C8                                35   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C13                               33   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C13                               33   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C14                               37   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C14                               37   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C15                               36   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C15                               36   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C16                               32   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C16                               32   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C17                               31   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C17                               31   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C27                               30   1      1   1   1 1           1 0 XSIG030283          (4327-1-13)
10-0057                          C27                               30   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C28                               34   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C28                               34   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0059                          C24                               41   1      1   1   1 1           1 0 VCC5                (4282-15-13)
10-0059                          C24                               41   1      2   1   1 2           2 0 XSIG011159          (4183-2-13)
